98,212,36.1,5.4,1,4.3,4.6,1,1
99,207,90.8,1.3,2.2,3.6,4.3,1,1
100,208.6,61.5,8.6,0.9,4.9,5.8,1,1
101,273.7,57.9,0.6,1,1.8,3.6,1,1
102,253.7,60.8,0.4,0.7,2.2,3.9,1,1
103,7370,29.3,241.3,96.3,126.8,141.1,4,10
104,160.2,39,0.3,0.1,0.5,0.9,1,1
105,423.9,9.8,1.8,1.7,4.3,6.9,1,1
106,196.9,83,0.4,0.8,3.3,12.9,1,1
107,171.9,27.9,0,0.1,1,2.6,1,1
108,377.2,38.6,1.5,1.5,15.9,46.5,2,2
109,230.3,66.5,3,3.9,6.9,10.4,1,1
110,460.6,0.4,18.9,14.8,15.5,23.6,2,2
111,171.9,10,0.1,0,0.5,0.7,1,1
112,163.6,94.4,0.7,0.9,4.6,18.2,1,1
113,213.6,70.8,3,0.8,0.8,1.2,1,1
114,560.8,14,47.3,60.1,28.9,32.9,2,3
115,277,105.9,0.3,2.8,11.9,12.1,1,1
116,217,85.8,0.9,1.6,8,23.9,1,1
117,500.7,67.2,1.9,3,8.6,18.3,1,1
118,233.7,52.9,0.4,0.1,4,4.4,1,1
119,347.1,107.3,0.7,0.5,22.4,31.8,2,2
120,223.6,107.3,0.6,2.2,10.3,12,1,1
121,480.7,89.4,2.3,2.5,32.3,35.2,2,3
122,237,58.7,20.6,3.8,5.7,7.2,1,1
123,213.6,63.7,0.2,0.3,0.5,1.6,1,1
124,237,12,2,10.1,22.7,24.4,2,2
125,500.7,26.1,0.7,0.7,5,8,1,1
126,594.1,25.4,0.9,0.1,8.8,11.6,1,1
127,460.6,14.7,42.8,78.2,17.2,19,2,2
128,243.7,104.4,2.1,21.5,25.2,29.4,2,3
129,196.9,26.8,16.3,13,5.3,6.4,1,1
130,180.2,81.5,0.5,0.9,38.2,150.3,2,4
131,1442,277.5,31.9,6.1,88.4,94.5,4,10
132,183.6,27.2,0.1,0.1,1.9,5.4,1,1
133,640.9,28.3,0.8,0.2,51.3,51.5,3,6
134,534.1,0.4,9.3,8.4,5.9,7.9,1,1
135,200.3,50.1,2.5,2.2,5.9,16.7,1,1
136,300.4,12.5,0.5,0.1,5.2,5.5,1,1
137,277,38.6,14.1,15.3,13.2,30.7,1,2
138,277,39.7,5.4,1.4,1.2,4.1,1,1
139,203.6,65.8,1.8,1.1,1.9,2.4,1,1
140,223.6,63.7,1.9,0.9,4.6,8.9,1,1
141,427.3,147.3,126.1,169.8,46.1,101.1,3,5
142,220.3,104.4,1.6,1.4,5.8,6.7,1,1
143,287.1,25.8,35,23.4,4.5,6.3,1,1
144,210.3,54.4,0.3,0.6,2.5,4,1,1
145,247,14.8,0.7,0.3,1.2,3.2,1,1
146,191.9,20.7,0.1,0.1,2.3,6,1,1
147,186.9,20.7,0.5,0.4,1.8,5.5,1,1
148,186.9,62.2,0.3,0.3,3.3,16.1,1,1
149,217,65.8,0.8,0.6,1.2,1.3,1,1
150,223.6,46.5,17.8,4.8,5.5,7.9,1,1
151,253.7,160.2,30.9,79.2,59,211.6,3,8
152,300.4,33.6,0.7,0.6,8.9,10.1,1,1
153,243.7,91.6,3.1,4.4,14.1,15.4,1,2
154,190.3,38.3,0.2,0.6,4.1,8.5,1,1
155,343.8,19,0.6,0.2,1.6,3.1,1,1
156,694.3,44.7,41.5,30.3,23.6,26.2,2,2
157,243.7,62.9,4.7,3,12.1,12.7,1,2
158,217,85.8,1.2,0.8,3,3.6,1,1
159,186.9,41.8,1.4,1,1.3,2.8,1,1
160,186.9,30.4,0,0.2,7.8,16.2,1,1
161,614.2,128.8,13.2,52.5,56.3,79.1,3,7
162,307.1,35.8,16.6,5.7,4.9,5.7,1,1
163,273.7,22.7,0.3,0.2,8.1,39.6,1,1
164,233.7,117.3,5.1,0.4,2.5,3.6,1,1
165,210.3,25,4.2,2.7,1.5,3.8,1,1
166,290.4,42.9,0.8,0.7,13,68.5,1,2
167,217,19.3,0.3,0.4,1,2.9,1,1
168,230.3,51.5,8.1,9.5,2.8,6.1,1,1
169,207,57.2,3.4,1.3,4.1,4.2,1,1
170,213.6,127.3,2.3,3.8,6.9,9.7,1,1
171,195.3,104.4,0.3,1.1,2,5.6,1,1
172,203.6,37.6,0.1,0.2,1.4,2.6,1,1
173,687.6,8.3,26.1,19.1,10,19.9,1,1
174,547.4,147.3,6.3,10.3,41.1,54,3,4
175,217,86.6,0.7,0.7,7.5,8.4,1,1
176,200.3,75.8,0.3,0.5,1.2,5.5,1,1
177,203.6,9.7,5.6,0.8,2.1,5.5,1,1
178,203.6,85.8,1.1,0.9,2.4,8.5,1,1
179,243.7,163.1,5.7,11.2,13.3,14.4,1,2
180,263.7,223.2,7.1,17.6,19,36.8,2,2
181,158.6,29,0,0.1,1.6,6.8,1,1
182,323.8,45.8,0.8,1.2,4,7.4,1,1
183,208.6,70.1,0.5,1.2,13.3,16.2,1,2
184,390.5,320.4,11.1,9.4,82.6,126.1,4,10
185,277,57.2,14.6,10.1,4,6.1,1,1
186,237,65.1,1.4,0.7,9.6,10.9,1,1
187,290.4,26.5,5.7,5.1,2.8,5.4,1,1
188,237,133,3.4,2,7.1,23.1,1,1
189,190.3,62.9,0,0.2,4.8,10.4,1,1
190,814.4,0,40.4,40.5,25.6,27.2,2,3
191,387.2,90.1,6.2,5.2,12.9,16.7,1,2
192,158.6,114.4,1.2,6.7,17.5,47.1,2,2
193,881.2,75.8,1.5,3.5,17.3,23.6,2,2
194,417.2,75.8,2.2,8.7,17.4,21.5,2,2
195,2964,57.2,20.9,0.8,31.7,39.3,2,3
196,217,75.8,0.9,0.4,4.5,6.6,1,1
197,273.7,35.1,36.7,9.8,5.3,14,1,1
198,191.9,35.1,0.9,0.1,0.8,1.1,1,1
199,520.7,62.9,1.6,2,8.5,23.1,1,1
200,240.3,23.6,0.6,0.6,7.7,14.2,1,1
201,327.1,21.5,16.8,2,2.9,4,1,1
202,198.6,29.3,4.7,0.4,2.2,2.5,1,1
203,205.3,52.2,0.8,0.6,3.8,5.8,1,1
204,217,41.8,3.6,1.3,3,3.4,1,1
205,240.3,77.3,2.9,0.9,0.9,2,1,1
206,270.4,55.8,5.3,7.6,13.9,16.8,1,2
207,300.4,100.1,5.7,4.3,28.7,73.1,2,3
208,2510.1,0.9,24,8.7,153.9,186.2,5,10
209,280.4,14.3,1.3,1,2.3,4.6,1,1
210,230.3,45.8,5.1,7.5,8.3,8.9,1,1
211,260.4,21.5,12.9,1.1,11.2,14,1,1
212,208.6,7.7,0.7,0.2,2.9,3.1,1,1
213,433.9,29.3,1.2,0.6,6.3,12.4,1,1
214,397.2,38.6,0.1,0.1,14.1,14.4,1,2
215,280.4,26.8,2.2,0.7,11.8,14.3,1,1
216,166.9,18.1,1.3,0.1,1.7,2.6,1,1
217,253.7,32.9,1.6,0.7,2.7,4.3,1,1
218,363.8,25.8,0.4,0.3,2.8,3.8,1,1
219,330.5,39.7,1.6,1.3,2.3,2.5,1,1
220,237,9.8,6.4,0.3,10.3,12.4,1,1
221,487.3,9.6,1.5,0.6,5,10.8,1,1
222,594.1,15.2,4.8,0.5,28.7,65.1,2,3
223,185.3,14.1,0.3,0,2.4,3.9,1,1
224,185.3,65.1,0.5,0.2,17.5,102.6,2,2
225,287.1,31.8,1.8,1.4,1.8,6.5,1,1
226,580.8,8.1,2.4,0.2,14.7,19.7,1,2
227,227,61.5,1,0.1,2.7,2.9,1,1
228,213.6,0.2,0.1,0,0.6,0.9,1,1
229,467.3,20.4,0.7,0.4,8.5,10.8,1,1
230,6568.9,0,52.8,7.6,537.3,644.5,6,10
231,1335.1,31.5,154.9,167.9,150.9,186,5,10
232,253.7,87.3,0.6,0.3,7.9,8.1,1,1
233,217,53.6,0.1,0.3,4.6,10.5,1,1
234,767.7,18.6,4.3,0.6,38.4,51.3,2,4
235,574.1,19.3,21.6,17.9,37.4,38.6,2,4
236,217,47.2,2.7,0.3,2.6,2.8,1,1
237,287.1,20.6,6.4,17.9,5.3,6.2,1,1
238,253.7,52.2,4.1,4.1,20.8,33.8,2,2
239,217,32.5,7.9,4.1,4.6,5.5,1,1
240,767.7,18.6,4.3,0.6,38.4,51.3,2,4
241,243.7,16.1,9.7,0.6,3.8,5.7,1,1
242,400.5,63.7,0.1,0.1,9.1,14.8,1,1
243,240.3,16.6,0.7,0.2,2.4,4.6,1,1
244,1014.7,0,18.3,12.9,20.5,32.3,2,2
245,4272.5,0,98.7,68.7,32,37.7,2,3
246,277,19.5,19.4,8,26.9,38.4,2,3
247,383.9,29,10.7,12,12.6,16.6,1,2
248,347.1,33.6,0,0.1,1.7,2,1,1
249,277,32.2,0.8,0.2,25.2,82.3,2,3
250,196.9,44,4.5,2.4,3.3,3.7,1,1
251,313.8,27.5,1.8,0.6,10.7,14.4,1,1
